DATE,IPG3113N
4/1/2017,111.0958
5/1/2017,104.0867
6/1/2017,105.8039
7/1/2017,103.0999
8/1/2017,115.05
9/1/2017,122.9153
10/1/2017,123.8745
11/1/2017,121.9578
12/1/2017,127.5542
1/1/2018,116.1868
2/1/2018,118.4109
3/1/2018,113.7411
4/1/2018,113.4276
5/1/2018,108.7876
6/1/2018,105.6288
7/1/2018,105.8609
8/1/2018,113.2536
9/1/2018,123.6877
10/1/2018,123.5622
11/1/2018,124.2246
12/1/2018,130.6568
1/1/2019,119.8812
2/1/2019,120.9312
3/1/2019,119.81
4/1/2019,113.5809
5/1/2019,110.2302
6/1/2019,110.9534
7/1/2019,108.9312
8/1/2019,118.8347
9/1/2019,129.3318
10/1/2019,130.7977
11/1/2019,135.1244
12/1/2019,139.4332
1/1/2020,121.5342
2/1/2020,125.0129
3/1/2020,118.4595
4/1/2020,100.5741
5/1/2020,102.8875
6/1/2020,107.3768
7/1/2020,112.4768
8/1/2020,124.2966
9/1/2020,132.157
10/1/2020,139.2401
